,colsample_bytree,eta,eval_metric,gamma,lambda,max_depth,min_child_weight,objective,score,silent,subsample
93,0.55,0.0043,auc,0.75,0.74,11.0,3.0,binary:logistic,0.713298160513,1,0.9
94,1.0,0.0056,auc,0.85,0.54,19.0,4.0,binary:logistic,0.705756742656,1,0.65
95,0.85,0.0024,auc,0.6,0.23,12.0,1.0,binary:logistic,0.711799133655,1,0.75
96,0.5,0.0041,auc,0.8,0.79,8.0,2.0,binary:logistic,0.712468961353,1,1.0
97,0.65,0.0067,auc,0.85,0.49,14.0,5.0,binary:logistic,0.710821519376,1,0.85
98,0.6,0.0018,auc,0.7,0.67,9.0,4.0,binary:logistic,0.712865202111,1,0.8
99,0.9,0.0061,auc,0.75,0.92,12.0,1.0,binary:logistic,0.710218287769,1,0.55
100,0.55,0.0026,auc,0.65,0.39,17.0,5.0,binary:logistic,0.707913709934,1,0.95
101,0.5,0.0035,auc,0.55,1.09,11.0,2.0,binary:logistic,0.713301992797,1,0.7
102,0.5,0.0057,auc,0.85,1.0,10.0,3.0,binary:logistic,0.713849717939,1,0.9
103,0.55,0.0012,auc,0.8,0.33,13.0,6.0,binary:logistic,0.708033138277,1,0.85
104,0.6,0.0049,auc,0.7,1.25,10.0,1.0,binary:logistic,0.713583935832,1,0.8
105,0.7,0.0004,auc,0.5,0.18,18.0,4.0,binary:logistic,0.702320410772,1,0.95
106,0.5,0.003,auc,0.75,0.44,8.0,3.0,binary:logistic,0.710616372598,1,0.9
107,0.65,0.0052,auc,0.6,0.72,15.0,1.0,binary:logistic,0.708900687065,1,0.75
108,0.55,0.0046,auc,0.65,0.3,11.0,4.0,binary:logistic,0.712036477328,1,0.5
109,0.75,0.0027,auc,0.9,1.43,16.0,2.0,binary:logistic,0.70810909134,1,0.85
110,0.6,0.0077,auc,0.8,0.25,13.0,5.0,binary:logistic,0.710761155473,1,1.0
111,0.8,0.0072,auc,0.75,0.6,24.0,4.0,binary:logistic,0.703595522757,1,0.75
112,0.5,0.0032,auc,0.7,0.55,9.0,1.0,binary:logistic,0.713827408696,1,0.7
113,0.65,0.0016,auc,0.65,0.89,21.0,3.0,binary:logistic,0.704128052456,1,0.9
114,0.55,0.0039,auc,0.8,1.34,12.0,2.0,binary:logistic,0.712932175943,1,0.85
115,0.5,0.0043,auc,0.7,0.49,8.0,1.0,binary:logistic,0.710731506226,1,0.95
116,0.85,0.0022,auc,0.85,0.35,10.0,6.0,binary:logistic,0.707463885385,1,1.0
117,0.6,0.003,auc,0.75,0.63,14.0,5.0,binary:logistic,0.711021366641,1,0.65
118,0.5,0.0008,auc,0.6,0.42,22.0,3.0,binary:logistic,0.705347932607,1,0.85
119,0.95,0.0036,auc,0.95,0.21,12.0,4.0,binary:logistic,0.711523357409,1,0.8
120,0.7,0.0041,auc,0.7,0.81,11.0,2.0,binary:logistic,0.712898074571,1,0.9
121,0.55,0.0063,auc,0.8,0.09,9.0,4.0,binary:logistic,0.713700399976,1,0.8
122,0.65,0.0014,auc,0.75,1.14,24.0,3.0,binary:logistic,0.703056620573,1,0.95
123,0.55,0.0083,auc,0.9,1.02,17.0,1.0,binary:logistic,0.705637351492,1,1.0
124,0.6,0.0045,auc,0.65,0.68,9.0,1.0,binary:logistic,0.713959310155,1,0.9
125,0.5,0.006,auc,0.55,0.58,13.0,5.0,binary:logistic,0.712038433159,1,0.75
